alpha mmin mmax delta_m
3.4646462693354874 1.0627403700141353 2.6257251313109187 0.38841433402838454
6.7167729716994895 1.1901528100679664 2.297878430240019 0.3572386618483415
7.977793044211513 0.9674499214418792 2.609728675438055 0.9870584456466285
7.828253934334279 1.0130791427313737 2.4697087289758817 0.7241872651262492
3.741735050760223 1.1044928346731722 2.820153252656299 0.2957206314138002
5.293301003657497 1.0257123245041597 2.5220360969603717 0.7219469875356007
9.611637339020033 1.0964498114521757 2.8894230697711367 0.671525074572413
6.2393096981825575 1.0283598776300533 2.5024322214239634 0.8189945544646152
4.631702456307167 0.996054102283102 2.3029802636642143 0.7662108398822717
7.944037657232565 1.21320055770201 2.428699859511073 0.10491933327749411
8.375421942545042 1.0566282313581146 2.451280763955828 0.6113224112493343
6.710536543543975 0.9612551821105054 2.4418737203704857 0.8774317094652812
5.2055881513791356 0.964058976891651 2.2641802081158153 0.8460894559711565
4.373486637189606 1.1681247338222613 2.26211518556779 0.36037798844824004
2.2394403364767834 1.2526280104010128 2.320119662945124 0.06851316778277722
2.9398469498179685 1.1595557684044986 2.097874090713609 0.21497845037788066
6.803534303963156 1.032058035527916 2.1939829552785906 0.705471852068527
9.366776503651515 1.0111097502680402 2.371397095328483 0.9487309802159957
7.270078093939427 1.087229874492927 2.1821626657952407 0.5600104764370525
5.356437159098418 0.9548584885016335 2.3498914235694315 0.8300464786054073
5.523495877678046 1.1142000236306846 2.169693183573713 0.5001898820642431
7.147057877319639 1.098557746061516 2.773203806063063 0.62603288335603
7.378729163829286 1.0236205533451124 2.766511448369971 0.8665303359171288
9.517027612934209 1.0835967750559252 2.6575449184020474 0.7486812976119228
7.102405657024349 1.1006461169858108 2.4099907351422836 0.654459791407231
6.35334789565796 1.105092826964199 2.240930951708462 0.5915737967607553
9.17313253850495 1.0850987205634834 2.636413584958813 0.7621620945941935
8.688449087475362 1.0363596709681746 2.5003745505494313 0.7568698711883802
9.152853097335319 1.0379313308243903 2.841390672962717 0.8420147551551718
1.309528917265208 1.220737830047061 2.18463525572148 0.01166290452706998
6.610431688296746 0.9586195686161769 2.31350819684424 0.9959931555854324
3.871513074221502 1.1835699991237991 2.8317082950076355 0.0979183278725914
6.647609517609981 1.036362496803775 2.287876802710265 0.8314434453323222
8.860510013782315 1.1316617803113174 2.4552283492849463 0.5501774438201434
8.081342079197197 1.0115283106493727 2.2879390717844776 0.8404742389181533
8.2225544889679 1.1285186350256202 2.292671383667784 0.5520416488427542
5.421540579986646 1.0050856061590547 2.4921403060414486 0.7481266059234374
7.956953728978695 1.0263490377876574 2.3899148219091866 0.9875272977988093
2.5351671463342482 1.2151853513893285 2.3833303755027395 0.15227398826205754
6.314182014437401 0.9708642188722902 2.3272805120188957 0.8269620201458515
4.233897991358662 1.2112832397802915 2.8292071288129983 0.021965091124515723
6.335008038881252 1.0784526924023623 2.732057473958916 0.6261644079242872
8.098303929321172 1.013904664095463 2.357461791118364 0.8060037652951824
6.9773129752211425 1.0293475952798838 2.252656795509372 0.8447913829994447
8.847507273025444 1.190676983434905 2.543983779276431 0.29965173637212833
8.843126497642912 1.1637649295207142 2.4409121402169798 0.3224819242840664
7.904923478529385 1.002586413768907 2.319001789043461 0.8601216678327405
5.273598700644419 1.0063380152333143 2.558814300750348 0.681144342784487
5.511195664420947 1.044071626444677 2.717669324977787 0.4422600488697377
8.42273887829631 1.0864863686250916 2.2683005215105165 0.6205696261131337
4.9003667119407925 0.9803648138123288 2.4395777404877155 0.6503813332056664
1.7770425385292388 1.2008265622060068 2.3146583178097 0.09788307741537866
9.313019023944461 1.0496237780611306 2.5956259131914194 0.8366324287258072
2.9755380429216904 1.055191286381101 2.175312309505286 0.47823442573529024
7.635090128173175 1.0769700204578228 2.8585971279688254 0.6941635760842289
4.523619899549093 0.9840973944444993 2.3600218605988976 0.5596883355366569
7.943827484057122 0.9879832798298346 2.345341491925868 0.9379593521594137
7.8807407653282375 1.2847479297792497 2.4182122843734124 0.057762671079003465
3.2491849306435903 1.0042145404401455 2.233337408061688 0.5811031741107305
8.215373807322077 1.032754249529558 2.558490240700989 0.9328462253602641
8.904880864756393 1.0210212607069924 2.7145847952495195 0.9817860545884842
8.488891686785776 1.1447002209410952 2.4285535885735885 0.34103207408404007
2.165990048618191 1.1241578128852492 2.3615550423869447 0.2585467837616892
7.145164756359597 1.126128031841695 2.840452405470474 0.5194736037255722
7.476719952105501 1.1940712015356618 2.3487739592144896 0.1363144034408368
8.85977333619257 1.0491229147948813 2.5853951885741644 0.886357870366106
7.1892347699292785 1.1050621176856523 2.8248157565414784 0.3555641461644399
7.977962277070667 1.0534327689184504 2.6806688250354593 0.7983930385568054
8.722197526348179 1.0960603714780617 2.3574403283624124 0.6638990795363179
7.3970397802890595 1.0130645465311827 2.600027820258915 0.8552470134964867
6.83060686750075 1.0762014329580634 2.635886667649515 0.6621559295434822
6.367127522615428 1.1379838279383099 2.7709847790901256 0.21805960484377743
6.6090545402739345 1.195183121530605 2.425796991912691 0.3241386601099876
7.500356459695617 1.0115882792211972 2.5965746617530585 0.8419691649156034
5.887475403437428 1.1625134655782159 2.505491651421649 0.39792433990666065
6.004249044786739 1.060946805330573 2.7407541638382824 0.42363468745287064
7.313891184267799 1.0912504952149429 2.6773049956734774 0.6365950972874387
6.932784394685353 1.0948810845247128 2.455471541823769 0.35820227177441333
8.41332181738289 1.0564881465402194 2.5295751999978684 0.8243136410385136
8.326726779531304 1.130111334236539 2.452767357410359 0.5383114076190082
7.855808923254381 1.0098373572197017 2.412929871920438 0.8327547678161292
2.333198902811117 1.1614538131034442 2.3932936168086067 0.14103015606928085
7.752006525658327 1.075937928272129 2.452068809419146 0.5092897182372194
8.381523873034379 1.1206628708454 2.546195128161819 0.4211296127151934
5.717482265686517 1.1659463144434117 2.2587985527942154 0.38677447384263575
5.85475846533542 1.043150523923585 2.4891801731412313 0.693604672476252
5.217092007571738 1.107586891264228 2.2632105205870725 0.5246400157074683
8.329515886817301 1.045092910342511 2.528558381849764 0.7410332813711513
5.837299631176144 0.9966210028566833 2.4595619106879334 0.7436673490935279
8.987230686582317 1.0328635564536395 2.4475886203261688 0.9219076405034464
2.6202206885357127 1.1645911754434168 2.4369740246931517 0.2162792789966345
4.94465547001049 1.062780111669153 2.2956292614280804 0.6147582003998525
2.545948166952246 1.2063665438757938 2.270706352199773 0.1885867528863037
5.191336659209011 1.1857064925455971 2.609240754175284 0.29972446475874875
8.025461569767812 1.057433220926463 2.672300924363751 0.6725717930028252
8.070696091842432 1.1763989393930623 2.257677987537636 0.3305971342421556
1.595144040806752 1.158677769678171 2.1784170534787473 0.17482393063738408
8.112296329967142 1.096839623682289 2.841075845086606 0.5107633258548687
3.029192482896491 1.0753056797578475 2.3079189543531142 0.26158679802459645
7.139641910330367 1.0867371402266295 2.57268216085735 0.6439395054082148
6.886899363680271 1.052179038649383 2.5641936217394297 0.723926159218687
5.200157735167309 1.026445282116796 2.609339616290235 0.5311693504398155
8.395270529534905 1.2431347487526152 2.4626035265709625 0.1531745794633869
4.259296199013816 1.0474544453061396 2.529020227273895 0.512265152876137
4.70925290286581 1.0374540199126092 2.275147061587618 0.4027944798352675
8.034994754896779 1.0288655553957828 2.475663122552447 0.874179300255484
8.077858841008682 1.042986452676851 2.576261564731218 0.769585558710763
4.851886476600825 1.0759010710847106 2.7897398231855632 0.35272790724789926
7.117485827505391 1.0452937030736398 2.530364550345953 0.5883979450549113
4.991701935343061 1.0608898077277948 2.7746612823569574 0.4152187238655566
7.621658039557985 1.086848429683332 2.547728614685791 0.4695588788320578
4.4899007547685805 1.0852620527799983 2.816005409436484 0.3684418378480329
6.307933864328275 1.1053192429702015 2.808022985099494 0.5207332842268317
7.835837124055999 1.043340687370797 2.5029453641257216 0.8109604837543593
7.156937711195312 1.0103720829394336 2.368953228831553 0.781875414931772
2.9626677987216965 1.0382551809550196 2.3535669223188025 0.44373714871693853
3.238171042654262 1.100499517767926 2.1450536686457333 0.2584231472029659
7.392818293083712 1.095831966351113 2.4820492537011694 0.4082540797712511
7.966821631340942 1.1065539724897147 2.7246745354236706 0.5727511423418317
7.381920016207667 1.0462484419724414 2.5307718367715517 0.7643031101545135
7.0507591096877675 1.0377821138255119 2.4092997010123876 0.6117810185086768
7.732881872291962 1.0973289665222605 2.295207634797915 0.6130640189075066
5.935137668611089 1.0282832190745386 2.485130703101463 0.7034926036284211
