mu sigma mlo mup
1.4259374785194916 1.099281742166408 1.181795209888159 2.1503579188944855
1.5742173772273302 0.2946184187377987 1.1585017263710504 2.7990423427790345
1.276904337769923 0.7612825650711595 1.2285978646053 2.4651792772109804
1.5932579290828772 0.3485099095332033 1.2257248145564266 2.1577584634358487
1.3076928765535059 0.6715763015712168 1.2239843453369788 2.569953332064056
1.4386846899998065 0.9781885692978339 1.2134526294493695 2.2596890942086056
1.3721196726528653 1.3543380066222652 1.2018636080671863 2.1299149418633867
1.3055937291685566 1.2788488753539144 1.252868212206032 2.2210274552311953
1.5490449102145059 0.32000243301127757 1.1297679625129184 2.6029875435043244
1.4453427849548546 0.3820746021855616 1.1126535628824537 2.7299049269015887
1.4673759212523478 0.5100675562906885 1.1620778699488126 2.4456102367027643
1.1872112970744686 0.889842730615499 1.1582334469265851 2.284546007654296
1.4772441101891047 0.35550911380253103 1.1117249477685822 2.582079779937125
1.4947770650332348 0.3881631092383464 1.2892738092289875 2.4721339798341244
1.344919939663327 1.2519924791327746 1.189244013470936 2.188315850998145
1.4956773620360577 1.6096521473355576 1.232349090945149 2.1558842809020016
1.3563964178680195 1.1566911079411375 1.217754047221021 2.2452141218316757
1.4578601620388252 0.5651114398189048 1.240726575829803 2.10110464759653
1.5338646609335396 0.2856117319498167 1.2015082169503501 2.1741971206160406
1.2687503761881846 0.506812959171417 1.1212226308242887 2.27017607935291
1.2508924398023216 0.6896471256836705 1.231130337301019 2.5901159856118947
1.3834853635090572 0.6755582216174266 1.150969587801265 2.2557179189979206
1.4209330254153119 0.5512641367293377 1.2139809270370001 2.6261649487362115
1.3588253044444625 0.5363238460437217 1.1497245425313987 2.5231000742948404
1.4824964708537016 0.26838179486194014 1.184761450450071 2.501386003879417
1.5341088819726165 1.0398419375943526 1.2337383213046935 2.1445840568853813
1.4539496658660251 0.410001009407511 1.1185050662094502 2.4101809695670564
1.4937050599406112 0.46654726995078327 1.2557918198583444 2.634291364839636
1.3589720090063953 0.45494917077546004 1.1314530472074031 2.8926366620118644
1.3233846138353391 0.8867291782748395 1.2713639804486259 2.1457104174995445
1.445953531251551 0.8398882413634244 1.2014300831338907 2.247593936841475
1.3580087131832257 0.5734656908899876 1.1391891355528017 2.339170392287031
1.3320438568272386 0.6183569563771433 1.1415768207492867 2.3120917501484497
1.2489595226014263 1.7569692339167169 1.2191408581034078 2.1519553531957634
1.3033789535632736 0.5694732627851283 1.1503696581947283 2.4850546249091634
1.2523950296590298 1.537792590954939 1.236892929484908 2.192087841234363
1.5619334449401499 0.5229647026366592 1.2426814705039444 2.2779351278349367
1.3366993356242642 0.591515428801796 1.1473251537025777 2.3691210728047767
1.4020563831362065 0.98127918543496 1.2028525787687796 2.2214306502335477
1.4264924862512207 0.5914384635343243 1.2402667722088492 2.4550425282664574
1.4739317762331383 0.32346668237198306 1.1401413055000753 2.2619293335014365
1.3798964208643114 0.460561832171937 1.1377330632281368 2.623173946777835
1.358244611659495 0.40877887460019885 1.1312527755773771 2.2635752452320714
1.4586426246004283 0.5679919252659095 1.202182266036949 2.4117747081372807
1.3062540771366025 0.8165314988083517 1.2573146589048396 2.30737318109841
1.3968803464268764 0.5787179485291596 1.2048118062055844 2.5167533805526805
1.381437730264445 0.5538083979311141 1.2017876151321745 2.6568744576643866
1.3502488148468 0.6349361357034685 1.172489821768733 2.3845960932777333
1.3659463693012424 1.1240302463528395 1.2078595693678664 2.144872018154943
1.3180655462777455 0.333169797127731 1.1793862647861773 2.698285562537705
1.326071791782141 0.9990458421041882 1.2525955566238771 2.12984784714782
1.1668232617944538 0.5324122359035925 1.1413463833455733 2.678455586665295
1.5250500597978438 0.40537703750788956 1.1738954741354601 2.5944122239475256
1.4907076353969777 0.40796599812457307 1.1335513623528615 2.323823678131245
1.5428918650027126 0.5626387223822243 1.222742379113405 2.136441196656334
1.426727069211336 0.9675235191939134 1.2434933085793072 2.203821520106228
1.4248707875048325 1.1632037116758254 1.2245874572378217 2.1671380246532994
1.4584810072614784 0.9528935179511328 1.209186197616473 2.1612675746331544
1.5435588703343477 0.6004822007546076 1.248420457991846 2.1647060721006417
1.3854328657615769 1.0922962039595407 1.246550983344165 2.1575831202471685
1.4916729214255744 0.7771790585934991 1.2417942019892256 2.2140306610582456
1.541771116192414 0.36887637864912065 1.1679404135974323 2.572258577850227
1.5356218614527977 0.6912321427405095 1.2184261628517388 2.154477552623541
1.5176455558695094 0.5093263402382713 1.1884549807528915 2.330330331206322
1.3360561857246305 0.8194195480897722 1.2656402233648387 2.2400039095173185
1.2824054161786282 0.3093579536731191 1.232918930218344 2.564273748649298
