mu1 sigma1 mu2 sigma2 alpha mlo
1.4329906222763493 0.16943313013260478 1.4366447542339493 0.3226783322143581 0.2171656257965216 1.1017432183253337
1.1933874329327998 0.2572467288542749 2.5687383603017264 1.2069736515464362 0.8406573574636221 1.130542008209315
1.3254677061136153 0.10572285198776085 2.3074448585281195 1.8211642570899427 0.7307179244988815 1.0862999264247004
1.2056333711661757 1.2645833354039302 1.318260433340027 0.08210835229746626 0.5492496632191753 1.145470143297295
1.2346298087492813 0.38573839198130455 1.4470690846691538 0.31099923653463435 0.21910265600838802 1.1857254607620373
1.186185607468881 0.11533035762305052 1.7870274814764522 0.39604671571647465 0.5790256975941641 1.1391421916060993
1.118830343516254 0.37619357038336565 1.3602009612190744 0.41653667772236713 0.6859537534622364 1.0730411734811502
1.3688103670344502 0.3340759337947578 2.6604949799268405 0.206872408626218 0.9796474898767834 1.128793685042269
1.227243944306628 0.7900421076566382 1.3869139296880373 0.16850894660792137 0.49793398797978644 1.107759905906193
1.359744496890615 0.1250171359752401 1.9177204950702067 1.3907076764671866 0.7756984125904084 0.9736902831528159
1.194501015640002 0.3696082237961641 1.5522401135871644 1.8538879076148436 0.7783853114550698 1.188259652789453
1.306962369403443 0.2900752902772803 1.7087019866996336 1.7681897797543265 0.7884230550289848 1.1885246942875463
1.3487976903003118 0.18189892984691453 2.1669927162288656 0.5786847955223337 0.7395160732678976 1.127613775372959
1.343483170441541 0.3722405158678952 1.3681919952392665 0.18159575450960835 0.6317615047964544 1.038476051953504
1.3102295636211638 0.3455372400007275 2.376034002924567 1.4083641144803465 0.8801457613238438 1.1677201530638042
1.4040036293451292 0.31070742783561806 2.1118404363679586 0.050543845886183054 0.8951788485206215 1.149464516433969
1.367655621488374 0.10964179909460513 1.7225825504286587 1.682320315183557 0.6692540763556744 1.1001400023043995
1.378154951119354 0.2227786446415725 1.4473568078918218 0.5871309053973179 0.7226590029191275 1.061596908463985
1.1847760635088755 0.4639927565702597 1.193876361213281 0.027510140146406632 0.7083411720097482 1.1704367634676007
1.224774031281724 0.463612257615396 2.805583947372191 1.5643220117661416 0.9662719819861251 1.1359865381663692
1.264772966029053 0.34876122248109415 2.40777699599302 0.6351603492615693 0.9824404534893769 1.0876964361300625
1.3115909219910822 0.3623590315478192 1.520098425793727 1.153254806987974 0.8745474191536384 1.1793945760163798
1.4160244680598688 0.1765877272745161 1.6414240487889111 0.622769191129446 0.8150949308980683 1.137729788417471
1.2792577495867679 0.2432551822876482 2.359641600971817 1.9101568957073443 0.962611959325885 1.2087784511562671
1.3406585346565714 0.3450041309850326 2.6721129763366367 0.6048436851265863 0.9553760503738816 1.1529983119205391
1.1734156275675987 0.4105509981408181 1.2281496734384447 1.4074299632135174 0.8781651952681494 1.1128011307282237
1.3320552553657952 0.06976316627170573 1.4798043535758105 0.4652385103432386 0.8329457454115693 0.9716343590477108
1.2074434012252857 0.44288435891477074 1.9825667977250934 0.8252426189321749 0.9824842395362138 1.0988708976425154
1.2194888657038425 0.3698285597726236 1.2259222908262906 0.47396666237980184 0.38381155532631633 1.0907037488984157
1.2792858740151942 0.20664036075855927 1.8560604778555945 1.9233166335910654 0.8908156709108154 1.1516570242711481
